title,link,published,source,pub_date
Towards terahertz nanomechanics,https://www.nature.com/articles/s41467-025-63561-5,2025-09-29 00:00:00,Nature Communications,2025-09-29 00:00:00+00:00
Millimeter-scale fluid-driven soft robots,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf413/8267848?rss=1,2025-09-29 00:00:00,National Science Review Advance Access,2025-09-29 00:00:00+00:00
MicroRNA-triggered in situ programmed assembly of photosensitizers with controlled dimension and accelerated kinetics for precise cancer therapy,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf424/8267849?rss=1,2025-09-29 00:00:00,National Science Review Advance Access,2025-09-29 00:00:00+00:00
Exotic charge density waves and superconductivity on the Kagome Lattice,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf414/8267852?rss=1,2025-09-29 00:00:00,National Science Review Advance Access,2025-09-29 00:00:00+00:00
How to find the papers you need to read — and avoid the ones you don’t,https://www.nature.com/articles/d41586-025-02867-2,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
Power and profit drive what we eat: here’s why the food system needs a revolution,https://www.nature.com/articles/d41586-025-03150-0,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
Want to do disruptive science? Include more rookie researchers,https://www.nature.com/articles/d41586-025-03117-1,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
Public trust in science has declined since COVID — virologists need to unite around safety standards,https://www.nature.com/articles/d41586-025-03151-z,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
NIH races to spend its 2025 grant money — but fewer projects win funding,https://www.nature.com/articles/d41586-025-03168-4,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
"How money, politics and technology are redefining the PhD experience in 2025",https://www.nature.com/articles/d41586-025-03149-7,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
"Little urchins, mischievous molluscs: my life as a sea champion",https://www.nature.com/articles/d41586-025-03153-x,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
Author Correction: Selenium-alloyed tellurium oxide for amorphous p-channel transistors,https://www.nature.com/articles/s41586-025-09667-8,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
Seeing crystals of polarons in organic materials,https://www.nature.com/articles/s41565-025-02028-6,2025-09-29 00:00:00,Nature Nanotechnology,2025-09-29 00:00:00+00:00
Publisher Correction: Psilocybin’s lasting action requires pyramidal cell types and 5-HT2A receptors,https://www.nature.com/articles/s41586-025-09671-y,2025-09-29 00:00:00,Nature,2025-09-29 00:00:00+00:00
Large linear high-frequency strain by interlocked monoclinic polar nanoregions,https://www.nature.com/articles/s41563-025-02354-z,2025-09-29 00:00:00,Nature Materials,2025-09-29 00:00:00+00:00
Giant virus genomes are unlikely to be reservoirs of antibiotic resistance genes,https://www.nature.com/articles/s41467-025-63367-5,2025-09-29 00:00:00,Nature Communications,2025-09-29 00:00:00+00:00
Reply to: Giant virus genomes are unlikely to be reservoirs of antibiotic resistance genes,https://www.nature.com/articles/s41467-025-63370-w,2025-09-29 00:00:00,Nature Communications,2025-09-29 00:00:00+00:00
Mechanically liberating polarization bubbles in van der Waals ferroelectrics,https://www.nature.com/articles/s41563-025-02346-z,2025-09-29 00:00:00,Nature Materials,2025-09-29 00:00:00+00:00
Spatiotemporal dynamics of moiré excitons in van der Waals heterostructures,https://www.nature.com/articles/s41467-025-64285-2,2025-09-29 00:00:00,Nature Communications,2025-09-29 00:00:00+00:00
Molecular mechanisms of CBASS phospholipase effector CapV mediated membrane disruption,https://www.nature.com/articles/s41467-025-63658-x,2025-09-29 00:00:00,Nature Communications,2025-09-29 00:00:00+00:00
Ultrafast space-time optical merons in momentum-energy space,https://www.nature.com/articles/s41467-025-63641-6,2025-09-29 00:00:00,Nature Communications,2025-09-29 00:00:00+00:00
Critical fluctuations and noise spectra in two-dimensional Fe<sub>3</sub>GeTe<sub>2</sub> magnets,https://www.nature.com/articles/s41467-025-63578-w,2025-09-29 00:00:00,Nature Communications,2025-09-29 00:00:00+00:00
Serotonin 2A receptor attenuates psoriatic inflammation by suppressing IL-23 secretion in monocyte-derived Langerhans cells,https://www.nature.com/articles/s41467-025-63971-5,2025-09-29 00:00:00,Nature Communications,2025-09-29 00:00:00+00:00
Simplexifying sustainability,https://www.nature.com/articles/s41893-025-01650-5,2025-09-29 00:00:00,Nature Sustainability,2025-09-29 00:00:00+00:00
Current status and future prospects of green carbon-dot-based miniaturized lasers,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf426/8267846?rss=1,2025-09-29 00:00:00,National Science Review Advance Access,2025-09-29 00:00:00+00:00
International Conference Honors Pioneers in Quantitative Microbial Physiology and Ecology,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf316/8267838?rss=1,2025-09-29 00:00:00,National Science Review Advance Access,2025-09-29 00:00:00+00:00
